"Słownictwo - busuu 1"
"Skręć w następną ulicę w prawo.","Gira alla prossima a destra."
"Supermarket jest na rogu", "All'angolo c'è un supermercato."
"Mieszkam blisko głównej ulicy.", "Io vivo vicino alla strada principale."
"Idź prosto przed siebie aż do końca ulicy.", "Prosegui dritto fino alla fine della strada."
"Czy bank jest daleko stąd?", "La banca è molto lontana da qui?"
"Stacja metra jest obok muzeum.", "La fermata della metro è accanto al museo"
"Supermarket jest blisko apteki", "Il supermercato è vicino alla farmacia"
"Stacja jest na rogu, naprzeciwko apteki.", "La stazione si trova all'angolo, davanti alla farmacia."
"Czy na wakacje jedziecie na Kubę?", "Voi andate in vacanza a Cuba?"
"Szkoła otwarta jest od poniedziałku do piątku", "La scuola è aperta dal lunedì al venerdì."
"Za dwie godziny zaczynam pracę.", "Inizio a lavorare tra due ore"
"Ich córka ma osiem lat.", "La loro figlia ha otto anni. "
"Ich biuro jest na pierwszym piętrze.", "Il loro ufficio è al primo piano."
"Wasz dziadek jest bardzo stary.", "Vostro nonno è molto anziano."
"Wasza ciocia jest chora.", "Vostra zia è malata."
"Sypialnia jest bardzo ładna.", "La camera da letto è molto bella."
"ubię śpiewać pod prysznicem.", "Mi piace cantare sotto la doccia."
"We Włoszech zawsze jest bidet.", "In Italia c'è sempre il bidet nel bagno."
"Ale co to jest?", "Ma quello che cos'è?"
"Proszę, to jest pański klucz.", "Signore, questa è la sua chiave"
"Łóżko jest bardzo wygodne.", "Il letto è molto comodo"
"Recepcjonista rezerwuje pokój dla klienta.", "Il receptionist prenota la camera per il cliente"
"Dzieńdobry, chciałbym zarezerwować pokój.", "Buongiorno. Vorrei prenotare una camera."
"W moim domu są trzy telewizory.", "Ci sono tre televisioni a casa mia."
