"Avere - mieć"
"Masz krótką pamięć!","Hai la memoria corta!"
"Mam dużo książek","Ho molti libr"
"Mam dużą rodzinę.","Ho una famiglia grande."
"Mam jedną siostrę i dwóch braci","Ho una sorella e due fratelli."
"Ona ma blond włosy i niebieskie oczy.","Lei ha i capelli biondi e gli occhi azzurri."
"Mój brat ma dwa psy", "Mio fratello ha due cani."
"Ten hotel ma basen", "Questo hotel ha una piscina."
"Ona ma dużo przyjaciół", "Lei ha molti amici."
"On ma nowy samochód", "Lui ha una macchina nuova."
"Mamy dużo pracy", "Abbiamo molto lavoro."
"Mamy ładne mieszkanie", "Abbiamo un bel appartamento."
"Mamy dużo przyjaciół", "Abbiamo molti amici."
"Mamy dużo pytań", "Abbiamo molte domande."
"Mamy trudny dzień", "Abbiamo una giornata difficile."
"Macie piękne widoki z okna", "Avete bellissime viste dalla finestra."
"Macie dużo czasu na naukę", "Avete molto tempo per studiare."
"Czy macie rodzinę we Włoszech?", "Avete famiglia in Italia?"
"Czy macie duży ogród?", "Avete un grande giardino?"
"Czy macie własny samochód?", "Avete la vostra auto?"
"Dzieci mają dużo zabawek", "Bambini hanno molti giocattoli."
"One mają piękne sukienki", "Loro hanno vestiti bellissimi."
"Nasi sąsiedzi mają nowy dom", "I nostri vicini hanno una casa nuova."
"One mają piękne ogrody", "Loro hanno giardini bellissimi."
"Czy studenci mają dużo lekcji?", "Gli studenti hanno molte lezioni?"
"Oni mają duże psy", "Loro hanno cani grandi."
