"Słownictwo - busuu 2"
"Lustra są czyste", "Gli specchi sono puliti."
"Jest mi zimno. Zamknij okna, proszę", "Ho freddo. Chiudi le finestre, per favore."
"W mojej sypialni jest raczej mała szafa", "Nella mia camera da letto c'è un armadio abbastanza piccolo"
"W pokoju jednoosobowym znajduje się tylko jedno łóżko.", "La camera singola ha un solo letto."
"W pokoju hotelowym znajduje się bardzo niewygodne łóżko.", "Nella camera dell'hotel c'è un letto molto scomodo."
"Lubię spać przez przynajmniej 8 godzin.", "Mi piace dormire per almeno 8 ore."
"Nie śpię dobrze na tym łóżku", "Non dormo bene su questo letto."
"Moja córka zawsze śpi na sofie.", "Mia figlia dorme sempre sul divano."
"Mam problem z moim pokojem.", "Ho un problema con la mia camera. "
"Proszę się pospieszyć!.", "Faccia presto, per favore."
"Czy są jakieś inne problemy?", "Ci sono altri problemi? "
"Chciałabym zmienić pokój.", "Vorrei cambiare camera."
"Nie działa telewizor.", "La televisione non funziona."
"Wszystkie pokoje są brudne, a personel jest bardzo nieprzyjemny", "Le camere sono tutte sporche e lo staff è molto antipatico."
"Hotel Armallo jest okropny! Nie polecam nikomu.", "L'hotel Armallo è pessimo! Non lo consiglio a nessuno."
"Naprawdę lubię ten hotel.", "Mi piace tantissimo questo hotel."
"Hotel Busuu jest świetny! Polecamy go wszystkim!", "L'Hotel Busuu è ottimo! Lo consigliamo a tutti! "
"W torebce mam telefon komórkowy, okulary i klucze.", "Nella mia borsa ci sono il cellulare, gli occhiali e le chiavi."
